p_id,nationality,product_id,product_type,product_name,serviced_by,inclusions,service_description,visa_entry,visa_validity,visa_duration,min_no_of_hrs,max_no_of_hrs,airport,airport_code,arrival_terminal,departure_terminal,travel_type,city,country,supplier,rate_application,currency,adult_cost_price,adult_cost_tax,child_cost_price,child_cost_tax,group_size_min,group_size_max,group_price,group_price_tax,exceptions,booking_cut_off,time_zone,service_charge_adult,total,service_tax_adult,service_charge_child,service_tax_child,service_tax_applicable_on,sales_cut_off,cancellation_time,cancellation_charges,discount,discount_amount,output_price,sac,cgst,sgst,igst,vat,booking_type,is_active
•	Baggage porterage (max 4 bags) to check-in and obtain your boarding pass
•	Escort through border control and security checks with a priority access
•	Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding",,,,,,,Orly,ORY,,,,Paris,France,La Cociegerie,Group,Euro,,,,,4,4,335,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
51,All,2,Departure,VIP Premium,,"•	Pick up from your hotel in Paris in Mercedes S Class for your transfers to the airport
•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Tax refund assistance and other airport assistance (if needed)
•	Baggage porterage (max 4 bags) to check-in and obtain your boarding pass
•	Escort through border control and security checks with a priority access
•	Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding",,,,,,,Orly,ORY,,,,Paris,France,La Cociegerie,Group,Euro,,,,,5,5,370,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
52,All,2,Departure,VIP Premium,,"•	Pick up from your hotel in Paris in Mercedes S Class for your transfers to the airport
•	Our concierge will meet the guest at the kerbside of the terminal your departing flight 
•	Tax refund assistance and other airport assistance (if needed)
•	Baggage porterage (max 4 bags) to check-in and obtain your boarding pass
•	Escort through border control and security checks with a priority access
•	Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding",,,,,,,Orly,ORY,,,,Paris,France,La Cociegerie,Group,Euro,,,,,6,6,405,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
53,All,2,Arrival,VIP Ultimate,,"•	Our concierge waits the guest at the door of the aircraft
•	Runway transfers in limousine from aircraft to private lounge
•	Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper
